(^\w.*\n)(.*$)
^\s
-- Griffith left to process - Require to copy current griffith db to academic an creating the index in the DB


-- Authors From the Turing Awards List in Fu, Song & Chiu: The academic social network




 -- page 1 Programming languages http://academic.research.microsoft.com/RankList?entitytype=2&topDomainID=2&subDomainID=24&last=0&start=1&end=100


-- page 1 ---------------------- Databases http://academic.research.microsoft.com/RankList?entitytype=2&topDomainID=2&subDomainID=18&last=0&start=1&end=100


Rajeev Motwani
Wil van der Aalst
Daniela Florescu
Elisa Bertino
Hans-Peter Kriegel
David Maier
Stefano Ceri
Richard T. Snodgrass
Dimitris Papadias
Yehoshua Sagiv
Sushil Jajodia
Yannis E. Ioannidis
Laks Lakshmanan
Peter Buneman
Miron Livny
John Mylopoulos
Nick Koudas
Gio Wiederhold
Maurizio Lenzerini
Divyakant Agrawal
Amr El Abbadi
Timos Sellis


-- page 1 ---------------------- Graphics http://academic.research.microsoft.com/RankList?entitytype=2&topDomainID=2&subDomainID=10&last=0&start=1&end=100
Pat Hanrahan
Markus H. Gross
Nadia Magnenat-Thalmann
Hans-peter Seidel
Daniel Thalmann
Donald Greenberg
Michael F. Cohen
David Salesin
Arie E. Kaufman
Dinesh Manocha
Daniel Cohen-Or
Peter . Schroder
Hugues Hoppe
Marc Levoy
Ming C. Lin
Leif Kobbelt
Norman Badler
Peter Shirley
Thomas A. Funkhouser
Harry Shum
Mathieu Desbrun
Charles D. Hansen
Jessica K. Hodgins
Thomas Ertl
Greg Turk
Demetri Terzopoulos
Roberto Scopigno
Henry Fuchs
Tony Derose
Fredo Durand
George Drettakis
James F. O'brien
Claudio T. Silva
Julie Dorsey
Ronald Fedkiw
Richard Szeliski
Alan Barr
Kwan-Liu Ma
Bernd Hamann
Paolo Cignoni
Hanspeter Pfister
Marc Alexa
Nelson L. Max
Dani Lischinski
John Hughes
Baining Guo
Jarek Rossignac
Chandrajit Bajaj
Philipp Slusallek
Wolfgang Heidrich
