// page 2 programming languages authors -----------------------------------------------
Amer Diwan
Tim Sheard
Manuel Fahndrich
Laurence Wolsey
Ehud Shapiro
George C. Necula
Christopher W. Fraser
Stephen Freund
Egon Balas
Manfred W. Padberg
James S. Noble
Stephane Ducasse
Danny De Schreye
German Puebla
Richard S. Bird
Ralph Johnson
David F. Bacon
Rastislav Bodik
David Padua
Susan Eggers
Joxan Jaffar
Peter F. Sweeney
Renato D. C. Monteiro


// page 1 programming languages authors -----------------------------------------------

Matthias Felleisen
Craig Chambers
Benjamin Pierce
Paul Hudak
Martín Abadi
James R. Larus
Robert Harper
Guy L. Steele
Barbara Liskov
Andrew W. Appel
Alex Aiken
Laurie Hendren
Xavier Leroy
Monica S. Lam
Manuel V. Hermenegildo
Pascal Van Hentenryck
Rajiv Gupta
Barbara G. Ryder
Martin C. Rinard
Mitchell Wand
Mooly Sagiv
John C. Mitchell
Peter Stuckey
Olivier Danvy
Saumya Debray

// page 6 programming languages authors -----------------------------------------------
Tao Xie
William H. Harrison
Frank Mueller
Claude Kirchner
Farhad Arbab
Gregor Snelting
Emery D. Berger
Patrick Lam
Wolfram Schulte
Steven P. Reiss
Koen Lindstrom Claessen
Rachid Echahed
Rita Loogen
Zoltan Somogyi
Gregor Engels
Hongseok Yang
Christian Queinnec
Gilles Muller
Dominic Duggan
Cristina Videira Lopes
Gilles Pesant
Paola Inverardi
Carla P. Gomes
Dino Pedreschi
John Tang Boyland
Byron Cook
Luc Maranget
Jose Luiz Fiadeiro
Matthew Hennessy
Satish Chandra
